TN,TX,TAVG,RH_AVG,SS,RR_lag1,TAVG_lag1,RH_AVG_lag1,SS_lag1,TX_lag1,TN_lag1,RR_rolling_mean_3d_lag1,RR_KAT_ENC
24.2,32.0,27.5,85.0,1.0,19.9,25.4,91.0,3.2,31.2,25.0,19.9,1
25.1,32.0,27.5,86.0,3.5,14.8,27.5,85.0,1.0,32.0,24.2,17.35,1
24.9,31.8,27.5,88.0,4.0,2.1,27.5,86.0,3.5,32.0,25.1,12.266666666666666,1
25.2,29.7,26.3,91.0,4.5,2.5,27.5,88.0,4.0,31.8,24.9,6.466666666666668,1
24.2,32.2,27.6,84.0,0.5,6.5,26.3,91.0,4.5,29.7,25.2,3.6999999999999997,1
25.0,29.6,26.8,89.0,6.3,12.5,27.6,84.0,0.5,32.2,24.2,7.166666666666667,3
25.0,29.4,27.3,85.0,6.85,23.8,26.8,89.0,6.3,29.6,25.0,14.266666666666666,1
24.8,31.4,26.7,85.0,2.5,13.7,27.3,85.0,6.85,29.4,25.0,16.666666666666668,3
24.0,31.5,27.3,84.0,1.4,24.0,26.7,85.0,2.5,31.4,24.8,20.5,1
24.2,32.2,27.9,82.0,1.0,17.1,27.3,84.0,1.4,31.5,24.0,18.26666666666667,1
24.6,32.6,28.5,78.0,6.7,3.0,27.9,82.0,1.0,32.2,24.2,14.700000000000001,1
26.6,33.0,29.3,79.0,6.5,3.0,28.5,78.0,6.7,32.6,24.6,7.7,1
25.9,32.8,28.8,81.0,10.0,3.0,29.3,79.0,6.5,33.0,26.6,3.0,1
26.2,32.4,29.1,78.0,5.7,3.0,28.8,81.0,10.0,32.8,25.9,3.0,1
25.0,32.6,29.6,76.0,6.85,0.2,29.1,78.0,5.7,32.4,26.2,2.066666666666667,1
25.0,32.3,29.2,76.0,6.85,3.0,29.6,76.0,6.85,32.6,25.0,2.066666666666667,1
26.6,33.2,29.3,76.0,11.0,3.0,29.2,76.0,6.85,32.3,25.0,2.066666666666667,1
26.6,33.4,29.6,78.0,9.2,3.0,29.3,76.0,11.0,33.2,26.6,3.0,1
26.4,32.8,29.0,80.0,10.5,3.0,29.6,78.0,9.2,33.4,26.6,3.0,1
26.5,34.1,29.0,81.0,6.85,1.0,29.0,80.0,10.5,32.8,26.4,2.3333333333333335,4
26.0,33.0,28.4,84.0,8.0,0.0,29.0,81.0,6.85,34.1,26.5,1.3333333333333333,1
25.6,32.1,28.6,81.0,6.0,9.9,28.4,84.0,8.0,33.0,26.0,3.6333333333333333,1
26.0,32.2,29.2,82.0,5.2,0.3,28.6,81.0,6.0,32.1,25.6,3.4000000000000004,4
25.8,33.0,28.8,81.0,9.5,0.0,29.2,82.0,5.2,32.2,26.0,3.4000000000000004,1
25.2,33.2,28.7,84.0,4.9,3.0,28.8,81.0,9.5,33.0,25.8,1.0999999999999999,1
25.8,33.8,28.1,85.0,10.5,2.2,28.7,84.0,4.9,33.2,25.2,1.7333333333333334,1
25.0,32.3,27.9,82.0,4.0,3.0,28.1,85.0,10.5,33.8,25.8,2.733333333333333,1
25.2,32.8,27.5,84.0,3.0,7.0,27.9,82.0,4.0,32.3,25.0,4.066666666666666,4
25.2,32.4,27.6,84.0,4.1,0.0,27.5,84.0,3.0,32.8,25.2,3.3333333333333335,3
25.8,32.2,28.1,84.0,7.7,46.4,27.6,84.0,4.1,32.4,25.2,17.8,3
25.0,32.8,28.7,82.0,3.5,30.2,28.1,84.0,7.7,32.2,25.8,25.53333333333333,1
25.4,32.8,29.0,78.0,6.0,2.0,28.7,82.0,3.5,32.8,25.0,26.2,1
25.4,32.8,28.3,80.0,6.5,3.0,29.0,78.0,6.0,32.8,25.4,11.733333333333334,4
26.2,32.8,28.8,81.0,2.2,0.0,28.3,80.0,6.5,32.8,25.4,1.6666666666666667,4
25.4,33.4,28.0,83.0,4.2,0.0,28.8,81.0,2.2,32.8,26.2,1.0,1
25.0,33.4,27.5,83.0,5.5,4.4,28.0,83.0,4.2,33.4,25.4,1.4666666666666668,1
25.2,31.2,27.3,86.0,5.4,8.2,27.5,83.0,5.5,33.4,25.0,4.2,1
24.8,31.8,27.4,82.0,0.3,1.9,27.3,86.0,5.4,31.2,25.2,4.833333333333333,1
25.0,31.6,27.3,82.0,6.85,9.0,27.4,82.0,0.3,31.8,24.8,6.366666666666667,3
25.2,30.0,27.2,86.0,3.2,28.3,27.3,82.0,6.85,31.6,25.0,13.066666666666668,1
25.0,32.4,28.2,83.0,2.1,5.5,27.2,86.0,3.2,30.0,25.2,14.266666666666666,1
25.7,33.2,28.4,82.0,6.85,2.0,28.2,83.0,2.1,32.4,25.0,11.933333333333332,1
25.9,32.6,28.5,82.0,7.4,0.4,28.4,82.0,6.85,33.2,25.7,2.6333333333333324,1
24.2,32.0,27.9,84.0,5.0,0.4,28.5,82.0,7.4,32.6,25.9,0.9333333333333321,3
25.0,30.8,26.3,88.0,5.3,38.1,27.9,84.0,5.0,32.0,24.2,12.966666666666667,1
24.4,32.4,27.1,86.0,2.0,15.9,26.3,88.0,5.3,30.8,25.0,18.133333333333333,3
24.9,32.2,27.7,82.0,5.9,23.2,27.1,86.0,2.0,32.4,24.4,25.733333333333334,1
25.0,32.4,27.5,84.0,4.5,12.2,27.7,82.0,5.9,32.2,24.9,17.099999999999998,1
25.2,33.2,28.1,85.0,3.0,19.8,27.5,84.0,4.5,32.4,25.0,18.400000000000002,1
24.6,32.8,28.0,84.0,5.2,3.0,28.1,85.0,3.0,33.2,25.2,11.666666666666666,3
24.8,33.0,28.3,82.0,8.5,40.8,28.0,84.0,5.2,32.8,24.6,21.2,1
26.2,33.6,29.0,79.0,6.2,3.0,28.3,82.0,8.5,33.0,24.8,15.6,1
26.0,32.8,27.8,85.0,6.0,3.0,29.0,79.0,6.2,33.6,26.2,15.6,1
25.4,32.6,27.4,87.0,2.1,3.0,27.8,85.0,6.0,32.8,26.0,3.0,1
25.5,33.4,27.6,86.0,5.0,11.1,27.4,87.0,2.1,32.6,25.4,5.7,3
25.4,33.2,28.2,85.0,8.0,33.4,27.6,86.0,5.0,33.4,25.5,15.833333333333334,1
25.6,33.2,28.8,84.0,6.0,0.3,28.2,85.0,8.0,33.2,25.4,14.933333333333332,1
25.8,33.4,27.1,90.0,9.4,6.6,28.8,84.0,6.0,33.2,25.6,13.433333333333332,3
25.4,32.2,27.3,89.0,3.3,23.7,27.1,90.0,9.4,33.4,25.8,10.2,3
25.4,32.8,28.5,85.0,5.8,30.9,27.3,89.0,3.3,32.2,25.4,20.4,0
25.6,32.6,26.4,92.0,6.5,73.0,28.5,85.0,5.8,32.8,25.4,42.53333333333333,3
23.0,31.8,26.6,80.0,0.3,26.4,26.4,92.0,6.5,32.6,25.6,43.43333333333334,1
23.4,33.6,28.0,80.0,2.1,3.0,26.6,80.0,0.3,31.8,23.0,34.13333333333333,1
25.1,32.4,27.7,86.0,7.1,4.2,28.0,80.0,2.1,33.6,23.4,11.200000000000001,3
25.5,31.8,27.4,88.0,3.3,26.0,27.7,86.0,7.1,32.4,25.1,11.066666666666668,1
25.2,31.8,26.7,86.0,2.9,3.0,27.4,88.0,3.3,31.8,25.5,11.066666666666668,1
25.0,32.5,28.3,81.0,2.0,2.0,26.7,86.0,2.9,31.8,25.2,10.333333333333334,1
26.0,32.8,28.4,87.0,9.0,5.3,28.3,81.0,2.0,32.5,25.0,3.4333333333333336,4
25.2,33.2,27.6,84.0,5.0,0.0,28.4,87.0,9.0,32.8,26.0,2.433333333333333,3
25.0,31.6,28.4,84.0,4.5,23.3,27.6,84.0,5.0,33.2,25.2,9.533333333333333,4
25.0,32.6,27.8,85.0,3.2,0.0,28.4,84.0,4.5,31.6,25.0,7.766666666666667,4
26.5,32.6,28.9,82.0,5.5,0.0,27.8,85.0,3.2,32.6,25.0,7.766666666666667,4
24.2,32.4,28.8,83.0,6.9,0.0,28.9,82.0,5.5,32.6,26.5,0.0,1
26.0,32.6,28.7,82.0,10.0,0.2,28.8,83.0,6.9,32.4,24.2,0.06666666666666667,1
25.4,32.4,28.0,85.0,7.2,12.5,28.7,82.0,10.0,32.6,26.0,4.233333333333333,1
25.0,32.2,27.9,87.0,8.4,14.0,28.0,85.0,7.2,32.4,25.4,8.9,1
25.3,32.4,27.7,87.0,2.3,2.9,27.9,87.0,8.4,32.2,25.0,9.799999999999999,1
25.0,32.8,28.1,84.0,5.1,5.0,27.7,87.0,2.3,32.4,25.3,7.3,3
24.0,33.8,27.3,90.0,9.0,29.4,28.1,84.0,5.1,32.8,25.0,12.433333333333332,0
25.0,30.6,27.4,84.0,5.5,81.3,27.3,90.0,9.0,33.8,24.0,38.56666666666666,1
24.8,32.0,27.9,83.0,4.0,3.0,27.4,84.0,5.5,30.6,25.0,37.9,1
25.0,32.2,27.6,85.0,7.5,0.2,27.9,83.0,4.0,32.0,24.8,28.16666666666667,1
25.8,32.4,29.0,82.0,7.0,1.2,27.6,85.0,7.5,32.2,25.0,1.4666666666666668,1
25.7,32.4,28.7,83.0,6.0,9.1,29.0,82.0,7.0,32.4,25.8,3.5,3
25.8,33.0,28.2,82.0,8.3,38.1,28.7,83.0,6.0,32.4,25.7,16.133333333333336,1
25.3,32.9,28.1,81.0,8.0,0.2,28.2,82.0,8.3,33.0,25.8,15.799999999999999,4
25.2,31.8,28.2,83.0,5.0,0.0,28.1,81.0,8.0,32.9,25.3,12.766666666666666,1
25.8,32.0,28.4,84.0,5.7,3.0,28.2,83.0,5.0,31.8,25.2,1.0666666666666667,1
25.0,31.8,28.6,82.0,8.3,6.7,28.4,84.0,5.7,32.0,25.8,3.233333333333333,1
25.0,31.0,28.3,82.0,6.4,4.0,28.6,82.0,8.3,31.8,25.0,4.566666666666666,1
25.4,32.2,27.4,86.0,2.4,3.0,28.3,82.0,6.4,31.0,25.0,4.566666666666666,1
24.6,32.2,28.1,84.0,7.5,2.9,27.4,86.0,2.4,32.2,25.4,3.3000000000000003,0
25.0,32.2,28.0,84.0,7.3,55.7,28.1,84.0,7.5,32.2,24.6,20.533333333333335,1
25.6,29.4,26.5,90.0,5.2,6.7,28.0,84.0,7.3,32.2,25.0,21.766666666666666,1
24.8,31.9,27.9,85.0,0.1,1.8,26.5,90.0,5.2,29.4,25.6,21.400000000000002,1
25.2,31.8,27.7,85.0,8.2,17.2,27.9,85.0,0.1,31.9,24.8,8.566666666666666,1
25.2,32.0,27.9,85.0,7.0,5.9,27.7,85.0,8.2,31.8,25.2,8.299999999999999,4
25.2,32.6,28.6,82.0,9.2,0.0,27.9,85.0,7.0,32.0,25.2,7.7,4
24.8,32.2,28.1,83.0,6.7,0.0,28.6,82.0,9.2,32.6,25.2,1.9666666666666668,3
25.8,32.3,28.4,81.0,8.5,24.5,28.1,83.0,6.7,32.2,24.8,8.166666666666666,4
25.8,32.2,28.8,80.0,9.5,0.0,28.4,81.0,8.5,32.3,25.8,8.166666666666666,1
25.0,32.3,28.6,82.0,10.2,3.0,28.8,80.0,9.5,32.2,25.8,9.166666666666666,4
25.8,32.0,27.9,83.0,9.7,0.0,28.6,82.0,10.2,32.3,25.0,1.0,1
25.6,32.4,28.2,84.0,6.5,4.4,27.9,83.0,9.7,32.0,25.8,2.466666666666667,1
24.6,31.0,27.5,83.0,4.1,0.4,28.2,84.0,6.5,32.4,25.6,1.6000000000000003,3
24.8,32.4,27.6,86.0,5.8,28.1,27.5,83.0,4.1,31.0,24.6,10.966666666666669,1
25.0,32.2,28.0,83.0,7.5,3.0,27.6,86.0,5.8,32.4,24.8,10.500000000000002,1
25.3,32.4,28.9,83.0,6.2,14.7,28.0,83.0,7.5,32.2,25.0,15.266666666666666,1
25.0,31.7,27.7,87.0,5.3,0.1,28.9,83.0,6.2,32.4,25.3,5.933333333333334,3
25.8,32.8,29.1,84.0,1.3,25.7,27.7,87.0,5.3,31.7,25.0,13.5,1
25.7,32.6,28.9,85.0,8.1,3.0,29.1,84.0,1.3,32.8,25.8,9.6,1
25.3,32.2,28.1,83.0,9.4,3.0,28.9,85.0,8.1,32.6,25.7,10.566666666666666,1
24.7,32.0,27.7,86.0,9.5,6.3,28.1,83.0,9.4,32.2,25.3,4.1000000000000005,3
25.0,32.3,28.3,86.0,9.2,43.0,27.7,86.0,9.5,32.0,24.7,17.433333333333334,1
25.8,31.4,28.2,87.0,6.5,2.0,28.3,86.0,9.2,32.3,25.0,17.099999999999998,1
25.0,29.8,27.5,86.0,6.85,12.3,28.2,87.0,6.5,31.4,25.8,19.099999999999998,1
25.0,31.4,27.9,84.0,1.2,14.4,27.5,86.0,6.85,29.8,25.0,9.566666666666668,1
25.2,31.7,28.9,79.0,10.6,0.8,27.9,84.0,1.2,31.4,25.0,9.166666666666666,4
26.4,32.0,28.6,82.0,10.0,0.0,28.9,79.0,10.6,31.7,25.2,5.066666666666667,1
25.8,32.2,28.6,78.0,7.4,3.0,28.6,82.0,10.0,32.0,26.4,1.2666666666666666,1
